"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
02/08/2008,17:00,155.42,159.11,155.13,158.90,314057,-0.824453,-0.783651,-0.040802,52.51,49.20,41.18,157.2420,158.6074,1.6580,0.2926,0,15,1
02/11/2008,17:00,158.89,161.85,158.05,160.72,298800,-0.473777,-0.721677,0.247899,56.66,71.08,51.37,157.5020,158.6724,3.2180,2.0476,0,16,1
02/12/2008,17:00,160.74,161.28,159.19,159.91,266939,-0.258248,-0.628991,0.370743,54.38,83.46,67.91,157.6160,158.7134,2.2940,1.1966,0,17,1
02/13/2008,17:00,159.63,161.02,159.04,160.40,244860,-0.047354,-0.512663,0.465309,55.55,82.23,78.92,157.7100,158.8102,2.6900,1.5898,0,18,1
02/14/2008,17:00,160.42,162.72,160.38,162.59,234842,0.293116,-0.351508,0.644624,60.42,86.62,84.11,158.0810,158.9388,4.5090,3.6512,0,19,1
02/15/2008,17:00,162.35,163.80,161.79,162.63,193278,0.559717,-0.169263,0.728980,60.50,90.27,86.37,158.7350,159.0880,3.8950,3.5420,0,20,1
02/19/2008,17:00,162.64,167.03,162.30,166.88,268758,1.101246,0.084839,1.016406,68.30,95.66,90.85,159.7080,159.3388,7.1720,7.5412,1,0,1
02/20/2008,17:00,166.76,168.04,165.17,166.88,263964,1.512970,0.370465,1.142505,68.30,93.60,93.18,160.8420,159.5348,6.0380,7.3452,2,0,1
02/21/2008,17:00,167.19,167.51,164.05,165.41,300092,1.701039,0.636580,1.064459,63.29,90.84,93.37,161.9560,159.7404,3.4540,5.6696,3,0,1
02/22/2008,17:00,164.68,166.55,164.34,165.99,231922,1.875270,0.884318,0.990952,64.40,86.73,90.39,163.0310,159.9660,2.9590,6.0240,4,0,1
02/25/2008,17:00,166.17,166.88,164.93,166.41,195635,2.023909,1.112236,0.911673,65.22,85.66,87.74,163.7820,160.1568,2.6280,6.2532,5,0,1
02/26/2008,17:00,166.53,168.61,165.64,168.06,252337,2.248923,1.339574,0.909350,68.31,90.51,87.63,164.5160,160.2932,3.5440,7.7668,6,0,1
02/27/2008,17:00,168.38,169.26,166.61,166.82,255045,2.300671,1.531793,0.768878,63.73,89.91,88.70,165.2070,160.4476,1.6130,6.3724,7,0,1
02/28/2008,17:00,166.81,170.15,166.09,169.77,271120,2.550323,1.735499,0.814824,69.05,92.70,91.04,166.1440,160.6806,3.6260,9.0894,8,0,1
02/29/2008,17:00,169.73,170.23,168.54,169.02,208429,2.657026,1.919804,0.737222,66.38,90.65,91.09,166.7870,160.9086,2.2330,8.1114,9,0,1
03/03/2008,17:00,168.81,171.13,167.95,169.63,267285,2.759008,2.087645,0.671362,67.48,92.14,91.83,167.4870,161.1682,2.1430,8.4618,10,0,1
03/04/2008,17:00,169.53,170.51,166.05,166.70,349829,2.573734,2.184863,0.388871,57.72,80.36,87.72,167.4690,161.3460,0.7690,5.3540,11,0,1
03/05/2008,17:00,167.06,172.13,166.73,171.70,385769,2.798106,2.307511,0.490594,66.60,82.30,84.93,167.9510,161.6274,3.7490,10.0726,12,0,1
03/06/2008,17:00,171.82,173.15,170.03,172.65,322924,3.017792,2.449568,0.568225,67.97,84.77,82.48,168.6750,161.8828,3.9750,10.7672,13,0,1
03/07/2008,17:00,172.76,173.72,171.09,172.33,299755,3.129994,2.585653,0.544341,66.97,93.28,86.78,169.3090,162.1154,3.0210,10.2146,14,0,1
03/10/2008,17:00,172.43,175.39,171.26,175.08,319760,3.401604,2.748843,0.652761,70.93,93.55,90.54,170.1760,162.3662,4.9040,12.7138,15,0,1
03/11/2008,17:00,175.09,176.90,173.79,175.93,329288,3.643446,2.927764,0.715683,72.05,92.50,93.11,170.9630,162.6210,4.9670,13.3090,16,0,1
03/12/2008,17:00,175.83,177.38,174.27,177.10,320860,3.884736,3.119158,0.765578,73.56,95.81,93.95,171.9910,162.9116,5.1090,14.1884,17,0,1
03/13/2008,17:00,177.24,178.16,175.94,177.51,287369,4.062217,3.307770,0.754447,74.08,95.14,94.49,172.7650,163.2108,4.7450,14.2992,18,0,1
03/14/2008,17:00,177.42,178.10,176.02,177.39,259437,4.145403,3.475297,0.670107,73.62,95.62,95.52,173.6020,163.4348,3.7880,13.9552,19,0,1
03/17/2008,17:00,177.28,178.98,170.41,172.86,322564,3.801969,3.540631,0.261338,58.73,80.51,90.42,173.9250,163.5770,1.0650,9.2830,20,0,1
03/18/2008,17:00,173.27,177.53,172.87,177.13,305475,3.830196,3.598544,0.231652,65.76,77.23,84.45,174.9680,163.8300,2.1620,13.3000,21,0,1
03/19/2008,17:00,176.51,176.52,170.42,171.17,375289,3.333221,3.545480,-0.212259,52.35,59.32,72.35,174.9150,164.0202,3.7450,7.1498,22,0,1
03/20/2008,17:00,170.73,171.32,167.28,170.47,314974,2.850027,3.406389,-0.556362,51.03,53.16,63.24,174.6970,164.1716,4.2270,6.2984,23,0,1
03/24/2008,17:00,170.33,171.05,168.58,169.49,181856,2.360801,3.197271,-0.836471,49.17,33.46,48.65,174.4130,164.3166,4.9230,5.1734,24,0,1
03/25/2008,17:00,169.06,170.49,167.76,169.85,287544,1.979318,2.953681,-0.974363,49.90,28.81,38.48,173.8900,164.5080,4.0400,5.3420,25,0,1
03/26/2008,17:00,170.18,174.99,170.06,174.53,314970,2.031212,2.769187,-0.737975,58.22,37.45,33.24,173.7500,164.8134,0.7800,9.7166,26,0,1
03/27/2008,17:00,174.63,176.85,173.66,176.21,301224,2.182740,2.651898,-0.469158,60.75,54.14,40.13,173.6610,165.1222,2.5490,11.0878,27,0,1
03/28/2008,17:00,175.82,176.26,173.34,174.25,248412,2.120230,2.545564,-0.425334,56.46,65.95,52.51,173.3350,165.4378,0.9150,8.8122,28,0,1
03/31/2008,17:00,173.75,175.41,168.88,170.21,319388,1.724814,2.381414,-0.656600,48.82,53.65,57.91,172.6170,165.6938,2.4070,4.5162,29,0,1
04/01/2008,17:00,170.20,171.18,168.18,169.61,289123,1.347496,2.174630,-0.827135,47.79,34.84,51.48,172.2920,165.9520,2.6820,3.6580,30,0,1
04/02/2008,17:00,169.46,173.73,168.47,173.46,285152,1.343642,2.008433,-0.664790,54.46,32.59,40.36,171.9250,166.2802,1.5350,7.1798,31,0,1
04/03/2008,17:00,173.16,175.07,171.84,172.46,308693,1.245539,1.855854,-0.610315,52.58,39.00,35.48,172.0540,166.6026,0.4060,5.8574,32,0,1
04/04/2008,17:00,172.89,175.01,172.66,174.86,216912,1.345936,1.753870,-0.407934,56.46,53.96,41.85,172.4930,167.0174,2.3670,7.8426,33,0,1
04/07/2008,17:00,174.75,178.11,174.49,177.72,265147,1.637405,1.730577,-0.093172,60.60,67.78,53.58,173.3160,167.4410,4.4040,10.2790,34,0,1
04/08/2008,17:00,177.51,178.27,176.27,177.13,280265,1.800038,1.744470,0.055569,59.34,83.14,68.29,174.0440,167.8268,3.0860,9.3032,35,0,1
04/09/2008,17:00,177.38,180.84,176.58,179.50,312050,2.096004,1.814777,0.281228,62.68,91.89,80.94,174.5410,168.2544,4.9590,11.2456,36,0,1
04/10/2008,17:00,179.33,180.83,177.38,178.74,297728,2.243373,1.900496,0.342877,60.95,87.83,87.62,174.7940,168.6538,3.9460,10.0862,37,0,1
04/11/2008,17:00,178.69,179.45,177.55,178.77,225474,2.335661,1.987529,0.348132,61.00,86.13,88.61,175.2460,169.0400,3.5240,9.7300,38,0,1
04/14/2008,17:00,178.63,180.62,178.19,180.39,190910,2.510580,2.092139,0.418441,63.49,88.10,87.35,176.2640,169.4702,4.1260,10.9198,39,0,1
04/15/2008,17:00,180.43,182.71,180.43,182.42,208729,2.780951,2.229902,0.551050,66.38,93.02,89.08,177.5450,169.9968,4.8750,12.4232,40,0,1
04/16/2008,17:00,182.48,183.77,180.82,183.56,271734,3.052029,2.394327,0.657702,67.92,97.78,92.97,178.5550,170.5250,5.0050,13.0350,41,0,1
04/17/2008,17:00,183.63,184.17,182.77,183.49,207600,3.224047,2.560271,0.663776,67.71,97.44,96.08,179.6580,171.0840,3.8320,12.4060,42,0,1
04/18/2008,17:00,183.63,185.60,181.35,185.32,196449,3.468061,2.741829,0.726232,70.24,97.61,97.61,180.7040,171.7050,4.6160,13.6150,43,0,1
04/21/2008,17:00,185.70,186.18,184.17,185.79,214021,3.657210,2.924905,0.732305,70.87,97.36,97.47,181.5110,172.3160,4.2790,13.4740,44,0,1
04/22/2008,17:00,185.90,188.14,185.10,187.23,273253,3.878598,3.115644,0.762955,72.77,96.93,97.30,182.5210,172.8826,4.7090,14.3474,45,0,1
04/23/2008,17:00,187.49,187.72,185.61,187.46,238879,4.026198,3.297755,0.728443,73.07,96.00,96.76,183.3170,173.4174,4.1430,14.0426,46,0,1
04/24/2008,17:00,187.09,187.46,183.41,185.22,310434,3.917266,3.421657,0.495609,65.45,90.07,94.33,183.9650,173.9236,1.2550,11.2964,47,0,1
04/25/2008,17:00,185.11,188.71,183.67,187.68,276187,3.983519,3.534029,0.449490,69.24,88.86,91.64,184.8560,174.4692,2.8240,13.2108,48,0,1
04/28/2008,17:00,188.11,189.09,187.32,187.91,194781,4.008378,3.628899,0.379479,69.58,86.71,88.55,185.6080,174.9756,2.3020,12.9344,49,0,1
04/29/2008,17:00,188.00,188.00,184.13,184.79,294294,3.733286,3.649776,0.083509,59.99,82.24,85.94,185.8450,175.4188,1.0550,9.3712,50,0,1
04/30/2008,17:00,184.52,185.86,182.46,182.62,299200,3.302108,3.580243,-0.278135,54.38,66.58,78.51,185.7510,175.7336,3.1310,6.8864,51,0,1
05/01/2008,17:00,183.76,184.39,179.46,181.68,277539,2.851674,3.434529,-0.582855,52.10,46.76,65.20,185.5700,176.0296,3.8900,5.6504,52,0,1
05/02/2008,17:00,181.41,185.96,180.94,185.48,277968,2.769406,3.301504,-0.532099,59.48,45.46,52.94,185.5860,176.4310,0.1060,9.0490,53,0,1
05/05/2008,17:00,185.66,189.52,185.21,189.13,252826,2.964559,3.234115,-0.269557,65.05,62.70,51.64,185.9200,176.8938,3.2100,12.2362,54,0,1
05/06/2008,17:00,189.06,191.89,188.49,191.00,302239,3.232846,3.233861,-0.001015,67.51,84.78,64.31,186.2970,177.3856,4.7030,13.6144,55,0,1
05/07/2008,17:00,190.92,193.09,189.70,192.69,353429,3.541016,3.295292,0.245724,69.60,95.35,80.94,186.8200,177.8782,5.8700,14.8118,56,0,1
05/08/2008,17:00,192.97,193.77,190.74,192.85,366303,3.754869,3.387208,0.367662,69.80,94.53,91.55,187.5830,178.3988,5.2670,14.4512,57,0,1
05/09/2008,17:00,193.44,195.43,193.24,195.12,324997,4.060711,3.521908,0.538802,72.53,96.29,95.39,188.3270,178.9058,6.7930,16.2142,58,0,1
05/12/2008,17:00,195.00,195.56,192.86,193.39,327868,4.116048,3.640736,0.475312,67.52,92.67,94.49,188.8750,179.3932,4.5150,13.9968,59,0,1
05/13/2008,17:00,192.92,196.14,192.26,194.96,361001,4.237740,3.760137,0.477603,69.57,92.49,93.82,189.8920,179.8998,5.0680,15.0602,60,0,1
05/14/2008,17:00,195.13,195.20,192.93,193.38,295636,4.158749,3.839859,0.318889,65.11,87.65,90.94,190.9680,180.4334,2.4120,12.9466,61,0,1
05/15/2008,17:00,192.99,195.80,189.91,193.28,371048,4.041491,3.880186,0.161305,64.83,86.41,88.85,192.1280,180.8650,1.1520,12.4150,62,0,1
05/16/2008,17:00,193.56,196.98,193.20,195.45,253604,4.076670,3.919483,0.157188,68.07,85.95,86.67,193.1250,181.3210,2.3250,14.1290,63,0,1
05/19/2008,17:00,195.51,196.93,194.44,196.21,193002,4.118402,3.959266,0.159136,69.15,90.02,87.46,193.8330,181.7986,2.3770,14.4114,64,0,1
05/20/2008,17:00,196.35,198.78,195.77,198.47,301431,4.284449,4.024303,0.260146,72.15,95.20,90.39,194.5800,182.2664,3.8900,16.2036,65,0,1
05/21/2008,17:00,198.59,203.64,198.09,202.66,354194,4.699962,4.159435,0.540528,76.68,96.54,93.92,195.5770,182.8010,7.0830,19.8590,66,0,1
05/22/2008,17:00,203.38,204.58,199.56,200.30,417331,4.783684,4.284285,0.499399,69.79,90.93,94.22,196.3220,183.2650,3.9780,17.0350,67,0,1
05/23/2008,17:00,200.24,203.20,199.65,201.68,310989,4.904849,4.408398,0.496451,71.41,85.97,91.15,196.9780,183.7484,4.7020,17.9316,68,0,1
05/27/2008,17:00,201.17,203.14,197.67,198.34,313565,4.677444,4.462207,0.215237,62.67,73.34,83.41,197.4730,184.1674,0.8670,14.1726,69,0,1
05/28/2008,17:00,197.79,201.07,195.45,200.52,360305,4.619876,4.493741,0.126136,65.63,71.08,76.80,198.0290,184.7206,2.4910,15.7994,70,0,1
05/29/2008,17:00,200.24,202.61,195.60,196.11,412328,4.170331,4.429059,-0.258728,55.97,57.55,67.32,198.3020,185.1002,2.1920,11.0098,71,0,1
05/30/2008,17:00,196.08,197.79,194.16,196.84,299508,3.828831,4.309013,-0.480182,57.09,53.94,60.86,198.6580,185.6136,1.8180,11.2264,72,0,1
06/02/2008,17:00,197.12,198.84,194.71,197.25,295399,3.550347,4.157280,-0.606933,57.75,46.51,52.67,198.8380,186.1492,1.5880,11.1008,73,0,1
06/03/2008,17:00,196.99,197.47,193.36,193.80,290800,3.016489,3.929122,-0.912633,50.74,41.26,47.24,198.5970,186.6354,4.7970,7.1646,74,0,1
06/04/2008,17:00,193.72,194.57,191.33,191.79,325287,2.403506,3.623998,-1.220493,47.16,29.79,39.19,197.9290,187.0742,6.1390,4.7158,75,0,1
06/05/2008,17:00,191.72,197.87,191.10,197.28,323098,2.333806,3.365960,-1.032154,56.25,27.91,32.99,197.3910,187.5292,0.1110,9.7508,76,0,1
06/06/2008,17:00,197.69,208.61,197.30,208.03,471482,3.110153,3.314799,-0.204646,67.91,54.73,37.48,198.1640,188.1656,9.8660,19.8644,77,0,1
06/09/2008,17:00,207.46,207.74,202.49,203.84,328173,3.348713,3.321581,0.027131,61.08,73.92,52.19,198.3800,188.7574,5.4600,15.0826,78,0,1
06/10/2008,17:00,204.51,207.47,200.29,200.80,379353,3.254950,3.308255,-0.053305,56.63,74.95,67.87,198.6260,189.3692,2.1740,11.4308,79,0,1
06/11/2008,17:00,201.28,207.79,200.84,205.87,362032,3.548840,3.356372,0.192468,61.65,70.84,73.23,199.1610,190.0944,6.7090,15.7756,80,0,1
06/12/2008,17:00,206.03,206.95,201.04,206.23,394829,3.767371,3.438572,0.328799,61.98,75.39,73.72,200.1730,190.7498,6.0570,15.4802,81,0,1
06/13/2008,17:00,206.46,206.57,202.95,204.35,247705,3.745680,3.499993,0.245687,59.07,82.14,76.12,200.9240,191.3876,3.4260,12.9624,82,0,1
06/16/2008,17:00,203.90,209.38,202.33,204.10,273782,3.666057,3.533206,0.132851,58.67,77.64,78.39,201.6090,191.9724,2.4910,12.1276,83,0,1
