,val,start,end
0,81.19875,1995-12-20 10:00:00,1996-01-11 10:00:00
0,82.00874999999999,1996-02-21 11:00:00,1996-04-23 11:00:00
0,85.09,1996-03-25 12:00:00,1996-04-23 12:00:00
0,87.00999999999999,1996-04-09 15:00:00,1996-04-17 15:00:00
0,87.13066666666666,1996-05-01 11:00:00,1996-05-16 11:00:00
0,87.13066666666666,1996-06-07 11:00:00,1996-11-14 11:00:00
0,88.01200000000001,1996-04-25 10:00:00,1996-04-30 10:00:00
0,88.01200000000001,1996-05-22 10:00:00,1996-05-30 10:00:00
0,88.01200000000001,1996-06-18 16:00:00,1996-11-13 16:00:00
0,89.17999999999999,1996-07-02 15:00:00,1996-07-28 15:00:00
0,89.17999999999999,1996-07-29 15:00:00,1996-11-13 15:00:00
0,89.745,1996-07-11 14:00:00,1996-07-19 14:00:00
0,90.915,1996-08-13 11:00:00,1996-11-14 11:00:00
0,92.72363636363637,1996-09-03 13:00:00,1996-11-13 13:00:00
0,93.5342857142857,1996-09-25 12:00:00,1996-11-05 12:00:00
0,94.31285714285715,1996-10-01 16:00:00,1996-10-30 16:00:00
0,95.09700000000001,1996-10-15 12:00:00,1996-10-28 12:00:00
0,90.54416666666667,1997-04-04 14:00:00,1997-06-17 14:00:00
0,91.25733333333334,1997-03-11 16:00:00,1997-04-03 16:00:00
0,91.25733333333334,1997-04-18 14:00:00,1997-06-06 14:00:00
0,92.17117647058824,1997-02-24 16:00:00,1997-03-02 16:00:00
0,92.17117647058824,1997-03-04 12:00:00,1997-04-02 12:00:00
0,92.17117647058824,1997-05-09 15:00:00,1997-06-04 15:00:00
0,93.055,1997-02-10 13:00:00,1997-02-24 13:00:00
0,93.055,1997-03-20 11:00:00,1997-03-25 11:00:00
0,93.055,1997-05-16 11:00:00,1997-05-27 11:00:00
0,93.88888888888889,1996-11-18 15:00:00,1997-02-09 15:00:00
0,95.62470588235294,1996-12-05 13:00:00,1996-12-09 13:00:00
0,95.62470588235294,1996-12-18 12:00:00,1997-01-26 12:00:00
0,96.612,1996-12-30 16:00:00,1997-01-13 16:00:00
0,87.116,1998-01-05 15:00:00,1998-01-14 15:00:00
0,88.57444444444444,1997-12-10 15:00:00,1998-01-01 15:00:00
0,89.23666666666668,1997-12-01 11:00:00,1997-12-15 11:00:00
0,90.38000000000001,1997-06-19 14:00:00,1997-11-30 14:00:00
